,index,job_title,company_name,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Stata,Machine Learning,Data Mining/Analytics,NLP,Visualisation,Big Data,AWS Cloud,Probability,Support Vector Machines,Neural Networks,GCP,Jason,xml,Azure,Google Cloud,Mathematics,IBM,Algebra,Statistics,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,Team building,project_management,leadership,consulting
510,https://ca.linkedin.com/jobs/view/data-scientist-at-amazon-web-services-aws-2207167787?refId=d93141d2-75cb-4256-9049-f74872428f68&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Amazon Web Services (AWS),0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
511,https://ca.linkedin.com/jobs/view/data-engineer-business-intelligence-at-paypal-2272699515?refId=d93141d2-75cb-4256-9049-f74872428f68&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Engineer - Business Intelligence,PayPal,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
512,https://ca.linkedin.com/jobs/view/data-scientist-business-innovation-at-td-2268814892?refId=d93141d2-75cb-4256-9049-f74872428f68&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist - Business Innovation,TD,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
513,https://ca.linkedin.com/jobs/view/data-scientist-at-wish-2176603367?refId=d93141d2-75cb-4256-9049-f74872428f68&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Wish,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
514,https://ca.linkedin.com/jobs/view/scientifique-des-donn%C3%A9es-et-appliqu%C3%A9-data-applied-scientist-at-microsoft-2264267307?refId=d93141d2-75cb-4256-9049-f74872428f68&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Scientifique des données et appliqué/ Data & Applied Scientist,Microsoft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
515,https://ca.linkedin.com/jobs/view/data-scientist-at-bravado-2241570459?refId=d93141d2-75cb-4256-9049-f74872428f68&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Bravado,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
516,https://ca.linkedin.com/jobs/view/data-scientist-at-bus-2297948592?refId=d93141d2-75cb-4256-9049-f74872428f68&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,BUS,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
517,https://ca.linkedin.com/jobs/view/data-scientist-engineer-at-lotusflare-2294814743?refId=d93141d2-75cb-4256-9049-f74872428f68&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist / Engineer,LotusFlare,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
518,https://ca.linkedin.com/jobs/view/data-scientist-at-nugget-ai-2268466326?refId=d93141d2-75cb-4256-9049-f74872428f68&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,nugget.ai,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
519,https://ca.linkedin.com/jobs/view/data-scientist-at-perennial-dcm-2280212864?refId=d93141d2-75cb-4256-9049-f74872428f68&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Perennial | DCM,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
520,https://ca.linkedin.com/jobs/view/data-scientist-at-visa-2241516352?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Visa,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,https://ca.linkedin.com/jobs/view/data-scientist-at-tripstack-2307904397?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,TripStack,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
522,https://ca.linkedin.com/jobs/view/data-scientist-at-overbond-2296128761?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Overbond,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
523,https://ca.linkedin.com/jobs/view/data-scientist-at-hatch-2268896530?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Hatch,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
524,https://ca.linkedin.com/jobs/view/data-scientist-ii-at-surveymonkey-2277168741?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist II,SurveyMonkey,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
525,https://ca.linkedin.com/jobs/view/data-scientist-at-chrysalabs-2274630481?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,ChrysaLabs,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
526,https://ca.linkedin.com/jobs/view/data-scientist-at-loopio-2302736091?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Loopio,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
527,https://ca.linkedin.com/jobs/view/data-scientist-at-just-energy-2231841953?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Just Energy,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
528,https://ca.linkedin.com/jobs/view/data-scientist-at-ubisoft-2303906701?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Ubisoft,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
